Invoice_No,Invoice_Date,Customer,Items,Invoice_Amount,Invoice_Tax,Invoice_CURRENCY,Invoice_EOM,Item_Type,,,,,,,,,,,,,,,,,
TI- 004,5/6/24,Test Invoiced 2 (deleted) ( 640 ),Sales,1.15,,usd,5/31/2024,Product,,,,,,,,,,,,,,,,,#REF!
TI- 003,5/6/24,Test Invoiced 2 (deleted) ( 640 ),Sales,1,,usd,5/31/2024,Product,,,,,,,,,,,,,,,,,
TI- 002,5/5/24,Mr. Test Invoiced (deleted),Google Cloud Platform Consumption/Spend (FLEX),1.2,,usd,5/31/2024,Product,,,,,,,,,,,,,,,,,
TI- 001,5/3/24,Mr. Test Invoiced (deleted),Google Cloud Platform Consumption/Spend (FLEX),1,,usd,5/31/2024,Product,,,,,,,,,,,,,,,,,
GGL02,8/27/25,Google,Google DAF OR PSF - Fixed Rate Investment,18000,,usd,8/31/2025,Services,,,,,,,,,,,,,,,,,
GGL02,8/27/25,Google,Avalara Tax,0,0,usd,8/31/2025,Tax,,,,,,,,,,,,,,,,,
GGL01,8/5/25,Google,Google DAF OR PSF - Fixed Rate Investment,39000,,usd,8/31/2025,Services,,,,,,,,,,,,,,,,,
GGL01,8/5/25,Google,Avalara Tax,0,0,usd,8/31/2025,Tax,,,,,,,,,,,,,,,,,
FR0047999,12/30/24,Google,DAF (Deal Accelerator Funds) / PSF (Partner Services Funds (PSF),2500,,usd,12/31/2024,Services,,,,,,,,,,,,,,,,,
FR0047999,12/30/24,Google,Avalara Tax,0,0,usd,12/31/2024,Tax,,,,,,,,,,,,,,,,,
FR-0070238,10/9/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0070238,10/9/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0070233,12/19/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,12/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0070233,12/19/25,Google,Avalara Tax,0,0,usd,12/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0070231,10/31/25,Google,Google DAF OR PSF - Fixed Rate Investment,3845,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0070231,10/31/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0070230,11/11/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,11/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0070230,11/11/25,Google,Avalara Tax,0,0,usd,11/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0070137,10/13/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0070137,10/13/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0070135,9/16/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0070135,9/16/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0070134,10/8/25,Google,Google DAF OR PSF - Fixed Rate Investment,23125,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0070134,10/8/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0070114,11/11/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,11/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0070114,11/11/25,Google,Avalara Tax,0,0,usd,11/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069622,10/10/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0069622,10/10/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069610,11/3/25,Google,Google DAF OR PSF - Fixed Rate Investment,3465,,usd,11/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0069610,11/3/25,Google,Avalara Tax,0,0,usd,11/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069588,10/14/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0069588,10/14/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069443,12/12/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,12/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0069443,12/12/25,Google,Avalara Tax,0,0,usd,12/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069364,11/19/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,11/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0069364,11/19/25,Google,Avalara Tax,0,0,usd,11/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069321,11/19/25,Google,Google DAF OR PSF - Fixed Rate Investment,5000,,usd,11/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0069321,11/19/25,Google,Avalara Tax,0,0,usd,11/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069313,10/3/25,Google,Google DAF OR PSF - Fixed Rate Investment,5000,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0069313,10/3/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069223,9/23/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0069223,9/23/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069205,10/31/25,Google,Google DAF OR PSF - Fixed Rate Investment,5000,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0069205,10/31/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069124,10/21/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0069124,10/21/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069067,9/12/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0069067,9/12/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069064,9/19/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0069064,9/19/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0069047,1/22/26,Google,Google DAF OR PSF - Fixed Rate Investment,3800,,usd,1/31/2026,Services,,,,,,,,,,,,,,,,,
FR-0069047,1/22/26,Google,Avalara Tax,0,0,usd,1/31/2026,Tax,,,,,,,,,,,,,,,,,
FR-0068855,12/15/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,12/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0068855,12/15/25,Google,Avalara Tax,0,0,usd,12/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068754,10/17/25,Google,Google DAF OR PSF - Fixed Rate Investment,5000,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0068754,10/17/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068689,9/24/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068689,9/24/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068682,10/17/25,Google,Google DAF OR PSF - Fixed Rate Investment,8890,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0068682,10/17/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068669,1/12/26,Google,Google DAF OR PSF - Fixed Rate Investment,24500,,usd,1/31/2026,Services,,,,,,,,,,,,,,,,,
FR-0068669,1/12/26,Google,Avalara Tax,0,0,usd,1/31/2026,Tax,,,,,,,,,,,,,,,,,
FR-0068659,10/17/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0068659,10/17/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068617,9/15/25,Google,Google DAF OR PSF - Fixed Rate Investment,5000,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068617,9/15/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068604,9/25/25,Google,Google DAF OR PSF - Fixed Rate Investment,5000,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068604,9/25/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068592,9/15/25,Google,Google DAF OR PSF - Fixed Rate Investment,3845,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068592,9/15/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068581,8/21/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,8/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0068581,8/21/25,Google,Avalara Tax,0,0,usd,8/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068404,9/8/25,Google,Google DAF OR PSF - Fixed Rate Investment,3000,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068404,9/8/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068340,9/8/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068340,9/8/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068305,11/5/25,Google,Google DAF OR PSF - Fixed Rate Investment,12500,,usd,11/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068305,11/5/25,Google,Avalara Tax,0,0,usd,11/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068110,9/23/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068110,9/23/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068093,9/25/25,Google,Google DAF OR PSF - Fixed Rate Investment,3000,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0068093,9/25/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0068085,10/2/25,Google,Google DAF OR PSF - Fixed Rate Investment,5000,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0068085,10/2/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0067987,10/28/25,Google,Google DAF OR PSF - Fixed Rate Investment,5500,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0067987,10/28/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0067975,9/25/25,Google,Google DAF OR PSF - Fixed Rate Investment,2500,,usd,9/30/2025,Services,,,,,,,,,,,,,,,,,
FR-0067975,9/25/25,Google,Avalara Tax,0,0,usd,9/30/2025,Tax,,,,,,,,,,,,,,,,,
FR-0067900,8/19/25,Google,Google DAF OR PSF - Fixed Rate Investment,3500,,usd,8/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0067900,8/19/25,Google,Avalara Tax,0,0,usd,8/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0067051,10/17/25,Google,Google DAF OR PSF - Fixed Rate Investment,7000,,usd,10/31/2025,Services,,,,,,,,,,,,,,,,,
FR-0067051,10/17/25,Google,Avalara Tax,0,0,usd,10/31/2025,Tax,,,,,,,,,,,,,,,,,
FR-0066987,1/26/26,Google,Google DAF OR PSF - Fixed Rate Investment,25165,,usd,1/31/2026,Services,,,,,,,,,,,,,,,,,
